Votes,Total,Candidate
898,3666,YOWERI MUSEVENI TIBUHABURWA KAGUTA
150,271,YOWERI MUSEVENI TIBUHABURWA KAGUTA
6994,9584,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1186,2113,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1139,1582,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1686,3733,YOWERI MUSEVENI TIBUHABURWA KAGUTA
223,362,YOWERI MUSEVENI TIBUHABURWA KAGUTA
106,218,YOWERI MUSEVENI TIBUHABURWA KAGUTA
106,218,YOWERI MUSEVENI TIBUHABURWA KAGUTA
139,268,YOWERI MUSEVENI TIBUHABURWA KAGUTA
133,267,YOWERI MUSEVENI TIBUHABURWA KAGUTA
133,267,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1451,2842,YOWERI MUSEVENI TIBUHABURWA KAGUTA
738,1618,YOWERI MUSEVENI TIBUHABURWA KAGUTA
8600,10089,YOWERI MUSEVENI TIBUHABURWA KAGUTA
115,247,YOWERI MUSEVENI TIBUHABURWA KAGUTA
115,247,YOWERI MUSEVENI TIBUHABURWA KAGUTA
279,435,YOWERI MUSEVENI TIBUHABURWA KAGUTA
678,1125,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3452,8987,YOWERI MUSEVENI TIBUHABURWA KAGUTA
375,1798,YOWERI MUSEVENI TIBUHABURWA KAGUTA
473,1089,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1017,2769,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3071,3983,YOWERI MUSEVENI TIBUHABURWA KAGUTA
5275,19741,YOWERI MUSEVENI TIBUHABURWA KAGUTA
741,1478,YOWERI MUSEVENI TIBUHABURWA KAGUTA
367,1156,YOWERI MUSEVENI TIBUHABURWA KAGUTA
506,1295,YOWERI MUSEVENI TIBUHABURWA KAGUTA
249,374,YOWERI MUSEVENI TIBUHABURWA KAGUTA
249,374,YOWERI MUSEVENI TIBUHABURWA KAGUTA
373,521,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1175,2929,YOWERI MUSEVENI TIBUHABURWA KAGUTA
474,1285,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1060,1780,YOWERI MUSEVENI TIBUHABURWA KAGUTA
842,1442,YOWERI MUSEVENI TIBUHABURWA KAGUTA
123,227,YOWERI MUSEVENI TIBUHABURWA KAGUTA
123,227,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3343,9319,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1058,1528,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3593,9122,YOWERI MUSEVENI TIBUHABURWA KAGUTA
789,1672,YOWERI MUSEVENI TIBUHABURWA KAGUTA
150,285,YOWERI MUSEVENI TIBUHABURWA KAGUTA
150,285,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2829,3615,YOWERI MUSEVENI TIBUHABURWA KAGUTA
555,1623,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2339,13813,YOWERI MUSEVENI TIBUHABURWA KAGUTA
851,2769,YOWERI MUSEVENI TIBUHABURWA KAGUTA
149,260,YOWERI MUSEVENI TIBUHABURWA KAGUTA
865,1287,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1830,9545,YOWERI MUSEVENI TIBUHABURWA KAGUTA
709,2121,YOWERI MUSEVENI TIBUHABURWA KAGUTA
742,1885,YOWERI MUSEVENI TIBUHABURWA KAGUTA
165,298,YOWERI MUSEVENI TIBUHABURWA KAGUTA
959,2015,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3444,9793,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2623,3553,YOWERI MUSEVENI TIBUHABURWA KAGUTA
948,1594,YOWERI MUSEVENI TIBUHABURWA KAGUTA
731,1473,YOWERI MUSEVENI TIBUHABURWA KAGUTA
212,368,YOWERI MUSEVENI TIBUHABURWA KAGUTA
531,939,YOWERI MUSEVENI TIBUHABURWA KAGUTA
19910,24168,YOWERI MUSEVENI TIBUHABURWA KAGUTA
170,274,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2393,3585,YOWERI MUSEVENI TIBUHABURWA KAGUTA
786,2152,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1611,3896,YOWERI MUSEVENI TIBUHABURWA KAGUTA
249,398,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1226,1501,YOWERI MUSEVENI TIBUHABURWA KAGUTA
688,1880,YOWERI MUSEVENI TIBUHABURWA KAGUTA
576,1404,YOWERI MUSEVENI TIBUHABURWA KAGUTA
548,1353,YOWERI MUSEVENI TIBUHABURWA KAGUTA
183,298,YOWERI MUSEVENI TIBUHABURWA KAGUTA
183,298,YOWERI MUSEVENI TIBUHABURWA KAGUTA
280,380,YOWERI MUSEVENI TIBUHABURWA KAGUTA
292,413,YOWERI MUSEVENI TIBUHABURWA KAGUTA
292,413,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2896,3737,YOWERI MUSEVENI TIBUHABURWA KAGUTA
329,918,YOWERI MUSEVENI TIBUHABURWA KAGUTA
846,1233,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1073,2202,YOWERI MUSEVENI TIBUHABURWA KAGUTA
211,310,YOWERI MUSEVENI TIBUHABURWA KAGUTA
211,310,YOWERI MUSEVENI TIBUHABURWA KAGUTA
358,482,YOWERI MUSEVENI TIBUHABURWA KAGUTA
358,482,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1579,2573,YOWERI MUSEVENI TIBUHABURWA KAGUTA
127,235,YOWERI MUSEVENI TIBUHABURWA KAGUTA
127,235,YOWERI MUSEVENI TIBUHABURWA KAGUTA
188,282,YOWERI MUSEVENI TIBUHABURWA KAGUTA
188,282,YOWERI MUSEVENI TIBUHABURWA KAGUTA
36270,44499,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2569,3308,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1045,1528,YOWERI MUSEVENI TIBUHABURWA KAGUTA
569,1281,YOWERI MUSEVENI TIBUHABURWA KAGUTA
726,1086,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1799,7467,YOWERI MUSEVENI TIBUHABURWA KAGUTA
764,1976,YOWERI MUSEVENI TIBUHABURWA KAGUTA
175,460,YOWERI MUSEVENI TIBUHABURWA KAGUTA
182,314,YOWERI MUSEVENI TIBUHABURWA KAGUTA
763,1923,YOWERI MUSEVENI TIBUHABURWA KAGUTA
296,868,YOWERI MUSEVENI TIBUHABURWA KAGUTA
109,210,YOWERI MUSEVENI TIBUHABURWA KAGUTA
289,420,YOWERI MUSEVENI TIBUHABURWA KAGUTA
289,420,YOWERI MUSEVENI TIBUHABURWA KAGUTA
121,221,YOWERI MUSEVENI TIBUHABURWA KAGUTA
121,221,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3440,11707,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1516,5843,YOWERI MUSEVENI TIBUHABURWA KAGUTA
188,318,YOWERI MUSEVENI TIBUHABURWA KAGUTA
161,274,YOWERI MUSEVENI TIBUHABURWA KAGUTA
161,274,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1821,6089,YOWERI MUSEVENI TIBUHABURWA KAGUTA
619,1803,YOWERI MUSEVENI TIBUHABURWA KAGUTA
170,303,YOWERI MUSEVENI TIBUHABURWA KAGUTA
170,303,YOWERI MUSEVENI TIBUHABURWA KAGUTA
377,515,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1680,2617,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4514,4820,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1320,1929,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1558,5911,YOWERI MUSEVENI TIBUHABURWA KAGUTA
521,1183,YOWERI MUSEVENI TIBUHABURWA KAGUTA
941,3670,YOWERI MUSEVENI TIBUHABURWA KAGUTA
214,331,YOWERI MUSEVENI TIBUHABURWA KAGUTA
125,220,YOWERI MUSEVENI TIBUHABURWA KAGUTA
308,802,YOWERI MUSEVENI TIBUHABURWA KAGUTA
192,1093,YOWERI MUSEVENI TIBUHABURWA KAGUTA
196,298,YOWERI MUSEVENI TIBUHABURWA KAGUTA
197,307,YOWERI MUSEVENI TIBUHABURWA KAGUTA
197,307,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3069,3598,YOWERI MUSEVENI TIBUHABURWA KAGUTA
991,4751,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2099,9470,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1678,10838,YOWERI MUSEVENI TIBUHABURWA KAGUTA
105,190,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1939,2294,YOWERI MUSEVENI TIBUHABURWA KAGUTA
425,1529,YOWERI MUSEVENI TIBUHABURWA KAGUTA
711,1287,YOWERI MUSEVENI TIBUHABURWA KAGUTA
867,1648,YOWERI MUSEVENI TIBUHABURWA KAGUTA
266,599,YOWERI MUSEVENI TIBUHABURWA KAGUTA
220,323,YOWERI MUSEVENI TIBUHABURWA KAGUTA
93,181,YOWERI MUSEVENI TIBUHABURWA KAGUTA
93,181,YOWERI MUSEVENI TIBUHABURWA KAGUTA
587,1269,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1319,1904,YOWERI MUSEVENI TIBUHABURWA KAGUTA
362,2195,YOWERI MUSEVENI TIBUHABURWA KAGUTA
256,342,YOWERI MUSEVENI TIBUHABURWA KAGUTA
256,342,YOWERI MUSEVENI TIBUHABURWA KAGUTA
187,301,YOWERI MUSEVENI TIBUHABURWA KAGUTA
136,229,YOWERI MUSEVENI TIBUHABURWA KAGUTA
183,277,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4276,5086,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1686,7102,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1321,2602,YOWERI MUSEVENI TIBUHABURWA KAGUTA
320,429,YOWERI MUSEVENI TIBUHABURWA KAGUTA
320,429,YOWERI MUSEVENI TIBUHABURWA KAGUTA
57,146,YOWERI MUSEVENI TIBUHABURWA KAGUTA
57,146,YOWERI MUSEVENI TIBUHABURWA KAGUTA
122,231,YOWERI MUSEVENI TIBUHABURWA KAGUTA
122,231,YOWERI MUSEVENI TIBUHABURWA KAGUTA
64,144,YOWERI MUSEVENI TIBUHABURWA KAGUTA
64,144,YOWERI MUSEVENI TIBUHABURWA KAGUTA
304,424,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2331,2977,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2662,10170,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1927,8198,YOWERI MUSEVENI TIBUHABURWA KAGUTA
495,967,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3463,4308,YOWERI MUSEVENI TIBUHABURWA KAGUTA
418,875,YOWERI MUSEVENI TIBUHABURWA KAGUTA
388,778,YOWERI MUSEVENI TIBUHABURWA KAGUTA
213,298,YOWERI MUSEVENI TIBUHABURWA KAGUTA
228,323,YOWERI MUSEVENI TIBUHABURWA KAGUTA
104,196,YOWERI MUSEVENI TIBUHABURWA KAGUTA
104,196,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1621,2061,YOWERI MUSEVENI TIBUHABURWA KAGUTA
925,1231,YOWERI MUSEVENI TIBUHABURWA KAGUTA
159,255,YOWERI MUSEVENI TIBUHABURWA KAGUTA
62,148,YOWERI MUSEVENI TIBUHABURWA KAGUTA
109,200,YOWERI MUSEVENI TIBUHABURWA KAGUTA
109,200,YOWERI MUSEVENI TIBUHABURWA KAGUTA
131,222,YOWERI MUSEVENI TIBUHABURWA KAGUTA
131,222,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2101,3584,YOWERI MUSEVENI TIBUHABURWA KAGUTA
619,1518,YOWERI MUSEVENI TIBUHABURWA KAGUTA
734,1081,YOWERI MUSEVENI TIBUHABURWA KAGUTA
756,1868,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1009,2352,YOWERI MUSEVENI TIBUHABURWA KAGUTA
271,367,YOWERI MUSEVENI TIBUHABURWA KAGUTA
238,326,YOWERI MUSEVENI TIBUHABURWA KAGUTA
80,154,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1763,3165,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2134,12841,YOWERI MUSEVENI TIBUHABURWA KAGUTA
662,1676,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3421,5027,YOWERI MUSEVENI TIBUHABURWA KAGUTA
188,294,YOWERI MUSEVENI TIBUHABURWA KAGUTA
519,1135,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3581,8555,YOWERI MUSEVENI TIBUHABURWA KAGUTA
5385,9543,YOWERI MUSEVENI TIBUHABURWA KAGUTA
973,2493,YOWERI MUSEVENI TIBUHABURWA KAGUTA
367,964,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1991,2509,YOWERI MUSEVENI TIBUHABURWA KAGUTA
604,1772,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1398,6252,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1292,6048,YOWERI MUSEVENI TIBUHABURWA KAGUTA
97,183,YOWERI MUSEVENI TIBUHABURWA KAGUTA
139,216,YOWERI MUSEVENI TIBUHABURWA KAGUTA
139,216,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1472,2429,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2262,5684,YOWERI MUSEVENI TIBUHABURWA KAGUTA
816,2538,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1130,7556,YOWERI MUSEVENI TIBUHABURWA KAGUTA
591,1566,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1266,2610,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2607,4076,YOWERI MUSEVENI TIBUHABURWA KAGUTA
247,336,YOWERI MUSEVENI TIBUHABURWA KAGUTA
247,336,YOWERI MUSEVENI TIBUHABURWA KAGUTA
204,302,YOWERI MUSEVENI TIBUHABURWA KAGUTA
204,302,YOWERI MUSEVENI TIBUHABURWA KAGUTA
644,1820,YOWERI MUSEVENI TIBUHABURWA KAGUTA
438,1542,YOWERI MUSEVENI TIBUHABURWA KAGUTA
208,305,YOWERI MUSEVENI TIBUHABURWA KAGUTA
208,305,YOWERI MUSEVENI TIBUHABURWA KAGUTA
234,325,YOWERI MUSEVENI TIBUHABURWA KAGUTA
234,325,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1808,9460,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1082,2642,YOWERI MUSEVENI TIBUHABURWA KAGUTA
371,1117,YOWERI MUSEVENI TIBUHABURWA KAGUTA
131,347,YOWERI MUSEVENI TIBUHABURWA KAGUTA
290,384,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4317,9550,YOWERI MUSEVENI TIBUHABURWA KAGUTA
765,2016,YOWERI MUSEVENI TIBUHABURWA KAGUTA
175,277,YOWERI MUSEVENI TIBUHABURWA KAGUTA
83,167,YOWERI MUSEVENI TIBUHABURWA KAGUTA
553,1131,YOWERI MUSEVENI TIBUHABURWA KAGUTA
205,359,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1503,5520,YOWERI MUSEVENI TIBUHABURWA KAGUTA
409,1342,YOWERI MUSEVENI TIBUHABURWA KAGUTA
637,1578,YOWERI MUSEVENI TIBUHABURWA KAGUTA
496,1190,YOWERI MUSEVENI TIBUHABURWA KAGUTA
220,519,YOWERI MUSEVENI TIBUHABURWA KAGUTA
695,2111,YOWERI MUSEVENI TIBUHABURWA KAGUTA
102,176,YOWERI MUSEVENI TIBUHABURWA KAGUTA
102,176,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1739,2043,YOWERI MUSEVENI TIBUHABURWA KAGUTA
896,1256,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1658,2595,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2606,3608,YOWERI MUSEVENI TIBUHABURWA KAGUTA
14022,27735,YOWERI MUSEVENI TIBUHABURWA KAGUTA
401,818,YOWERI MUSEVENI TIBUHABURWA KAGUTA
272,725,YOWERI MUSEVENI TIBUHABURWA KAGUTA
437,875,YOWERI MUSEVENI TIBUHABURWA KAGUTA
203,275,YOWERI MUSEVENI TIBUHABURWA KAGUTA
750,1576,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1607,2090,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4075,5002,YOWERI MUSEVENI TIBUHABURWA KAGUTA
332,846,YOWERI MUSEVENI TIBUHABURWA KAGUTA
113,380,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1046,3293,YOWERI MUSEVENI TIBUHABURWA KAGUTA
826,1123,YOWERI MUSEVENI TIBUHABURWA KAGUTA
449,1270,YOWERI MUSEVENI TIBUHABURWA KAGUTA
304,949,YOWERI MUSEVENI TIBUHABURWA KAGUTA
936,2040,YOWERI MUSEVENI TIBUHABURWA KAGUTA
197,324,YOWERI MUSEVENI TIBUHABURWA KAGUTA
263,831,YOWERI MUSEVENI TIBUHABURWA KAGUTA
289,470,YOWERI MUSEVENI TIBUHABURWA KAGUTA
378,929,YOWERI MUSEVENI TIBUHABURWA KAGUTA
196,416,YOWERI MUSEVENI TIBUHABURWA KAGUTA
299,782,YOWERI MUSEVENI TIBUHABURWA KAGUTA
533,1216,YOWERI MUSEVENI TIBUHABURWA KAGUTA
827,2394,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2934,7441,YOWERI MUSEVENI TIBUHABURWA KAGUTA
190,276,YOWERI MUSEVENI TIBUHABURWA KAGUTA
190,276,YOWERI MUSEVENI TIBUHABURWA KAGUTA
196,301,YOWERI MUSEVENI TIBUHABURWA KAGUTA
196,301,YOWERI MUSEVENI TIBUHABURWA KAGUTA
120,195,YOWERI MUSEVENI TIBUHABURWA KAGUTA
120,195,YOWERI MUSEVENI TIBUHABURWA KAGUTA
660,1244,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1000,1345,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1612,11014,YOWERI MUSEVENI TIBUHABURWA KAGUTA
847,1283,YOWERI MUSEVENI TIBUHABURWA KAGUTA
458,962,YOWERI MUSEVENI TIBUHABURWA KAGUTA
151,415,YOWERI MUSEVENI TIBUHABURWA KAGUTA
291,662,YOWERI MUSEVENI TIBUHABURWA KAGUTA
376,481,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1703,2235,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1034,2502,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1698,4858,YOWERI MUSEVENI TIBUHABURWA KAGUTA
352,487,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1032,3925,YOWERI MUSEVENI TIBUHABURWA KAGUTA
411,1440,YOWERI MUSEVENI TIBUHABURWA KAGUTA
585,1490,YOWERI MUSEVENI TIBUHABURWA KAGUTA
377,1028,YOWERI MUSEVENI TIBUHABURWA KAGUTA
275,480,YOWERI MUSEVENI TIBUHABURWA KAGUTA
464,978,YOWERI MUSEVENI TIBUHABURWA KAGUTA
228,497,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1214,2754,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3472,7928,YOWERI MUSEVENI TIBUHABURWA KAGUTA
307,1126,YOWERI MUSEVENI TIBUHABURWA KAGUTA
156,226,YOWERI MUSEVENI TIBUHABURWA KAGUTA
230,354,YOWERI MUSEVENI TIBUHABURWA KAGUTA
116,179,YOWERI MUSEVENI TIBUHABURWA KAGUTA
92,152,YOWERI MUSEVENI TIBUHABURWA KAGUTA
92,152,YOWERI MUSEVENI TIBUHABURWA KAGUTA
154,230,YOWERI MUSEVENI TIBUHABURWA KAGUTA
154,230,YOWERI MUSEVENI TIBUHABURWA KAGUTA
434,928,YOWERI MUSEVENI TIBUHABURWA KAGUTA
551,1651,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1104,7625,YOWERI MUSEVENI TIBUHABURWA KAGUTA
960,1428,YOWERI MUSEVENI TIBUHABURWA KAGUTA
219,656,YOWERI MUSEVENI TIBUHABURWA KAGUTA
144,464,YOWERI MUSEVENI TIBUHABURWA KAGUTA
144,464,YOWERI MUSEVENI TIBUHABURWA KAGUTA
399,1016,YOWERI MUSEVENI TIBUHABURWA KAGUTA
10232,22894,YOWERI MUSEVENI TIBUHABURWA KAGUTA
223,757,YOWERI MUSEVENI TIBUHABURWA KAGUTA
542,1273,YOWERI MUSEVENI TIBUHABURWA KAGUTA
989,2925,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1392,1666,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2726,3083,YOWERI MUSEVENI TIBUHABURWA KAGUTA
262,430,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2449,9254,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1054,9282,YOWERI MUSEVENI TIBUHABURWA KAGUTA
208,554,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3837,4307,YOWERI MUSEVENI TIBUHABURWA KAGUTA
939,1551,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1713,2204,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1135,3889,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1272,1520,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3417,4104,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1463,8586,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1903,12142,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2399,5669,YOWERI MUSEVENI TIBUHABURWA KAGUTA
218,905,YOWERI MUSEVENI TIBUHABURWA KAGUTA
295,617,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3503,3828,YOWERI MUSEVENI TIBUHABURWA KAGUTA
617,1158,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1506,1988,YOWERI MUSEVENI TIBUHABURWA KAGUTA
909,2353,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1214,1570,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3462,4141,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2077,8199,YOWERI MUSEVENI TIBUHABURWA KAGUTA
316,1053,YOWERI MUSEVENI TIBUHABURWA KAGUTA
191,593,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1498,2567,YOWERI MUSEVENI TIBUHABURWA KAGUTA
265,535,YOWERI MUSEVENI TIBUHABURWA KAGUTA
153,228,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1360,1918,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2806,5935,YOWERI MUSEVENI TIBUHABURWA KAGUTA
637,872,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2826,10487,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2476,5975,YOWERI MUSEVENI TIBUHABURWA KAGUTA
599,1084,YOWERI MUSEVENI TIBUHABURWA KAGUTA
362,976,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1937,2483,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1075,1727,YOWERI MUSEVENI TIBUHABURWA KAGUTA
453,1226,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2441,3729,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2315,5942,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2857,6225,YOWERI MUSEVENI TIBUHABURWA KAGUTA
291,742,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1232,2918,YOWERI MUSEVENI TIBUHABURWA KAGUTA
349,714,YOWERI MUSEVENI TIBUHABURWA KAGUTA
914,1806,YOWERI MUSEVENI TIBUHABURWA KAGUTA
606,839,YOWERI MUSEVENI TIBUHABURWA KAGUTA
878,1268,YOWERI MUSEVENI TIBUHABURWA KAGUTA
573,983,YOWERI MUSEVENI TIBUHABURWA KAGUTA
3554,3993,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1207,5052,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1084,7719,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2072,5055,YOWERI MUSEVENI TIBUHABURWA KAGUTA
153,1135,YOWERI MUSEVENI TIBUHABURWA KAGUTA
440,990,YOWERI MUSEVENI TIBUHABURWA KAGUTA
285,721,YOWERI MUSEVENI TIBUHABURWA KAGUTA
222,519,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2471,4082,YOWERI MUSEVENI TIBUHABURWA KAGUTA
381,933,YOWERI MUSEVENI TIBUHABURWA KAGUTA
401,946,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1731,2748,YOWERI MUSEVENI TIBUHABURWA KAGUTA
849,1481,YOWERI MUSEVENI TIBUHABURWA KAGUTA
800,1201,YOWERI MUSEVENI TIBUHABURWA KAGUTA
368,504,YOWERI MUSEVENI TIBUHABURWA KAGUTA
621,2959,YOWERI MUSEVENI TIBUHABURWA KAGUTA
577,1425,YOWERI MUSEVENI TIBUHABURWA KAGUTA
428,1044,YOWERI MUSEVENI TIBUHABURWA KAGUTA
15894,19553,YOWERI MUSEVENI TIBUHABURWA KAGUTA
137,200,YOWERI MUSEVENI TIBUHABURWA KAGUTA
137,200,YOWERI MUSEVENI TIBUHABURWA KAGUTA
153,209,YOWERI MUSEVENI TIBUHABURWA KAGUTA
153,209,YOWERI MUSEVENI TIBUHABURWA KAGUTA
84,146,YOWERI MUSEVENI TIBUHABURWA KAGUTA
84,146,YOWERI MUSEVENI TIBUHABURWA KAGUTA
978,1575,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1370,1823,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1416,1739,YOWERI MUSEVENI TIBUHABURWA KAGUTA
583,869,YOWERI MUSEVENI TIBUHABURWA KAGUTA
4602,6087,YOWERI MUSEVENI TIBUHABURWA KAGUTA
886,3423,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1048,6945,YOWERI MUSEVENI TIBUHABURWA KAGUTA
726,7234,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1596,11630,YOWERI MUSEVENI TIBUHABURWA KAGUTA
122,585,YOWERI MUSEVENI TIBUHABURWA KAGUTA
255,498,YOWERI MUSEVENI TIBUHABURWA KAGUTA
11449,12827,YOWERI MUSEVENI TIBUHABURWA KAGUTA
173,231,YOWERI MUSEVENI TIBUHABURWA KAGUTA
173,231,YOWERI MUSEVENI TIBUHABURWA KAGUTA
73,125,YOWERI MUSEVENI TIBUHABURWA KAGUTA
73,125,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1251,1808,YOWERI MUSEVENI TIBUHABURWA KAGUTA
516,2026,YOWERI MUSEVENI TIBUHABURWA KAGUTA
344,450,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1400,5045,YOWERI MUSEVENI TIBUHABURWA KAGUTA
833,5662,YOWERI MUSEVENI TIBUHABURWA KAGUTA
675,1006,YOWERI MUSEVENI TIBUHABURWA KAGUTA
184,539,YOWERI MUSEVENI TIBUHABURWA KAGUTA
12459,13787,YOWERI MUSEVENI TIBUHABURWA KAGUTA
261,456,YOWERI MUSEVENI TIBUHABURWA KAGUTA
184,249,YOWERI MUSEVENI TIBUHABURWA KAGUTA
184,249,YOWERI MUSEVENI TIBUHABURWA KAGUTA
575,965,YOWERI MUSEVENI TIBUHABURWA KAGUTA
7907,11484,YOWERI MUSEVENI TIBUHABURWA KAGUTA
1481,1828,YOWERI MUSEVENI TIBUHABURWA KAGUTA
2913,4010,YOWERI MUSEVENI TIBUHABURWA KAGUTA
809,5356,YOWERI MUSEVENI TIBUHABURWA KAGUTA
249,566,YOWERI MUSEVENI TIBUHABURWA KAGUTA
235,474,YOWERI MUSEVENI TIBUHABURWA KAGUTA
521,723,YOWERI MUSEVENI TIBUHABURWA KAGUTA
521,723,YOWERI MUSEVENI TIBUHABURWA KAGUTA
