Constituency,Name,Political Party,Votes,ID
KAMPALA CENTRAL DIVISION,NSEREKO  MUHAMMAD,INDEPENDENT,16998,93
KAMPALA CENTRAL DIVISION,NYANZI  FRED SSENTAMU,NUP,15975,93
KAMPALA CENTRAL DIVISION,NDILIMA  BABU CEDRIC,NRM,10749,93
KAMPALA CENTRAL DIVISION,KAIJA  HAROLD SCANDRONE,FDC,1679,93
KAMPALA CENTRAL DIVISION,MUKASA  RONALD EDWARD SSENKUBUGE,ANT,1653,93
KAWEMPE DIVISION NORTH,SSEGIRINYA  MUHAMMAD,NUP,41197,94
KAWEMPE DIVISION NORTH,SERWADDA  SULAIMAN KIDANDALA,INDEPENDENT,7512,94
KAWEMPE DIVISION NORTH,KASENGE  TOM JOHNFISHER,NRM,6946,94
KAWEMPE DIVISION NORTH,SEBAGGALA  ABDULATIF SENGENDO,INDEPENDENT,3919,94
KAWEMPE DIVISION NORTH,MUTAZINDWA  MUHAMOOD,FDC,2247,94
KAWEMPE DIVISION NORTH,SERUNKUMA  SALIM,INDEPENDENT,1825,94
KAWEMPE DIVISION NORTH,MULUMBA  MATTHIAS,DP,1050,94
KAWEMPE DIVISION NORTH,SENDAWULA  ROGERS,ANT,582,94
KAWEMPE DIVISION NORTH,NANYUNJA  ROBINAH,EPU,490,94
KAWEMPE DIVISION NORTH,BURROWS  JOHN LUMU,INDEPENDENT,170,94
KAWEMPE DIVISION SOUTH,KAZIBWE  BASHIR MBAZIIRA,NUP,26855,94
KAWEMPE DIVISION SOUTH,SOLOMON  MAYANJA,NRM,6818,94
KAWEMPE DIVISION SOUTH,MUNYAGWA  SSERUNGA MUBARAK,FDC,3788,94
KAWEMPE DIVISION SOUTH,SSEMBOGGA  ROY,INDEPENDENT,1250,94
KAWEMPE DIVISION SOUTH,MAKUREGYE  NATHAN JUSTICE GAHUNGU,EPU,803,94
KAWEMPE DIVISION SOUTH,SEBULIBA  RICHARD MUTUMBA,DP,464,94
KAWEMPE DIVISION SOUTH,TENYWA  EDRISA,INDEPENDENT,240,94
KAWEMPE DIVISION SOUTH,MAKUMBI  KENNEDY STEADY JOHN,ANT,223,94
KAWEMPE DIVISION SOUTH,LUMU  JOHN BAPTIST,INDEPENDENT,77,94
KAWEMPE DIVISION SOUTH,ANGUZU  SILAS,COSEVO,68,94
MAKINDYE DIVISION EAST,NYEKO  DERRICK,NUP,20455,94
MAKINDYE DIVISION EAST,OWOBUSINGYE  KAILUKABI ELIJAH,NRM,14815,95
MAKINDYE DIVISION EAST,KASOZI  IBRAHIM BIRIBAWA,FDC,9117,95
MAKINDYE DIVISION EAST,MABIKKE  MICHAEL SSENINDE,INDEPENDENT,4352,95
MAKINDYE DIVISION EAST,LUKANGA  AMINAH NANZIRI,INDEPENDENT,592,95
MAKINDYE DIVISION EAST,KABUYE  SULAIMAN,INDEPENDENT,528,95
MAKINDYE DIVISION EAST,SSENTAMU  SAMUEL KABANDA,DP,484,95
MAKINDYE DIVISION EAST,NKAMBO  SSENUNGI DAUDI LUMBUYE,INDEPENDENT,457,95
MAKINDYE DIVISION EAST,SEKAJUGO  PAUL NICHOLAS,INDEPENDENT,280,95
MAKINDYE DIVISION WEST,SSEWANYANA  ALLAN ALOIZIOUS,NUP,18116,96
MAKINDYE DIVISION WEST,LUBEGA  ACHILLES,NRM,4358,96
MAKINDYE DIVISION WEST,NTEGE  FAROUQ,INDEPENDENT,4270,96
MAKINDYE DIVISION WEST,LUSAGALA  BOSCO,DP,501,96
MAKINDYE DIVISION WEST,SSERUNGA  ABUBAKAR,INDEPENDENT,286,96
MAKINDYE DIVISION WEST,KYAZZE  KASSIM,ANT,194,96
MAKINDYE DIVISION WEST,KIZITO  EXPERITO,INDEPENDENT,100,96
NAKAWA DIVISION EAST,BALIMWEZO  RONALD NSUBUGA,NUP,31263,97
NAKAWA DIVISION EAST,RUHINDI  FREDRICK,NRM,11720,97
NAKAWA DIVISION EAST,KABAZIGURUKA  MICHAEL ANDREW,FDC,7467,97
NAKAWA DIVISION EAST,KATURAMU  JOB MUTUNGI,INDEPENDENT,1274,97
NAKAWA DIVISION EAST,KEENO  CHARLES RONNY,DP,438,97
NAKAWA DIVISION EAST,MUKIIBI  ELISHA MUGISHA,INDEPENDENT,127,97
NAKAWA DIVISION EAST,MBADHWE  JOHN,INDEPENDENT,126,97
NAKAWA DIVISION WEST,SSENYONYI  JOEL BESEKEZI,NUP,31653,97
NAKAWA DIVISION WEST,ZZIWA - NANTONGO MARGARET,NRM,9450,97
NAKAWA DIVISION WEST,KAKANDE  KENNETH PAUL,INDEPENDENT,2780,97
NAKAWA DIVISION WEST,KYAMBADDE  WILBERFORCE,FDC,1512,97
NAKAWA DIVISION WEST,ACER  GODFREY OKOT,INDEPENDENT,931,97
NAKAWA DIVISION WEST,SHUKLA  MUKESH BABUBHAI,INDEPENDENT,806,97
NAKAWA DIVISION WEST,ASIIMWE  ROBERT,INDEPENDENT,668,97
NAKAWA DIVISION WEST,KATUSIIME  CHRISTINE GLORIA,INDEPENDENT,479,97
NAKAWA DIVISION WEST,KASOZI  ROBERT,PPP,300,97
NAKAWA DIVISION WEST,ISABIRYE  ZACHARIA,INDEPENDENT,280,97
NAKAWA DIVISION WEST,AISHA  WANYANA,INDEPENDENT,238,97
NAKAWA DIVISION WEST,TEBISUULA  EMMANUEL SSERUMAGA,DP,196,97
NAKAWA DIVISION WEST,KALUMBA  BENJAMIN SEBULIBA,INDEPENDENT,194,97
NAKAWA DIVISION WEST,IMONG  MOIRA ANTONIA,INDEPENDENT,161,97
RUBAGA DIVISION NORTH,KAWALYA  ABUBAKER,NUP,39847,98
RUBAGA DIVISION NORTH,KAMYA  BETI TURWOMWE,NRM,14003,98
RUBAGA DIVISION NORTH,KASIBANTE  MOSES,INDEPENDENT,8032,98
RUBAGA DIVISION NORTH,KASULE  ARAFAATI SULAIMAN,FDC,500,98
RUBAGA DIVISION NORTH,TINDYEBWA  BRIAN KUSINGURA,INDEPENDENT,346,98
RUBAGA DIVISION NORTH,KIZITO  FRANCIS,DP,189,98
RUBAGA DIVISION NORTH,SEMAYOBE  NICHOLAS,INDEPENDENT,87,98
RUBAGA DIVISION SOUTH,MUKASA  ALOYSIUS TALTON GOLD,NUP,49501,99
RUBAGA DIVISION SOUTH,NASSOLO  EUGENIA,DP,12893,99
RUBAGA DIVISION SOUTH,MALE  CHARLES KENNETH,NRM,5069,99
RUBAGA DIVISION SOUTH,KIFAMPA  SIRAJE NSAMBU,JEEMA,3146,99
RUBAGA DIVISION SOUTH,KATO LUBWAMA  PAUL,INDEPENDENT,2799,99
RUBAGA DIVISION SOUTH,MUGGA  ADAM SWIFT,INDEPENDENT,2050,99
RUBAGA DIVISION SOUTH,LUFUNYA  DERICK,INDEPENDENT,1521,99
RUBAGA DIVISION SOUTH,KEN-LUKYAMUZI  JOHN,CP,931,99
RUBAGA DIVISION SOUTH,LUBEGA  SAMUEL WALTER MUKAAKU,SDP,719,99
RUBAGA DIVISION SOUTH,BUWEMBO  HABIB,FDC,629,99
RUBAGA DIVISION SOUTH,KIYINGI  DENIS,INDEPENDENT,376,99
RUBAGA DIVISION SOUTH,NAKANWAGI  GRACE,INDEPENDENT,292,99
RUBAGA DIVISION SOUTH,SSEBUGGWAWO  MBIDDE DENIS,INDEPENDENT,145,99
RUBAGA DIVISION SOUTH,KAYEMBA  MICHAEL OSCAR,INDEPENDENT,111,99
BUGABULA COUNTY NORTH,TEIRA  JOHN,NRM,11181,100
BUGABULA COUNTY NORTH,MULINDWA  GEORGE,INDEPENDENT,11013,100
BUGABULA COUNTY NORTH,OMONDI  FLAVIA,INDEPENDENT,4205,100
BUGABULA COUNTY NORTH,NTENDE  JULIUS,INDEPENDENT,803,100
BUGABULA COUNTY NORTH,BYEKWASO  GEOFREY,NUP,695,100
BUGABULA COUNTY NORTH,ADEPO  FRANCIS,FDC,225,100
BUGABULA COUNTY NORTH,KAWUZI  SAMSON,INDEPENDENT,183,100
BUGABULA COUNTY NORTH,KITIMBO  EDWARD,INDEPENDENT,71,100
BUGABULA COUNTY SOUTH,KIBALYA  HENRY MAURICE,NRM,20245,101
BUGABULA COUNTY SOUTH,MUWANGUZI  ANDREW,NUP,7270,101
BUGABULA COUNTY SOUTH,DHIZAALA  SANON MOSES,INDEPENDENT,5970,101
BUGABULA COUNTY SOUTH,KATEGERE  THOMAS,INDEPENDENT,2993,101
BUGABULA COUNTY SOUTH,WALUBO  JUDE TADEO,INDEPENDENT,1305,101
BUGABULA COUNTY SOUTH,GWAIVU  ROBERT,FDC,431,101
BUGABULA COUNTY SOUTH,LWALANDA  GEOFFREY,INDEPENDENT,415,101
BUGABULA COUNTY SOUTH,LUNAGULA  PHOOLA,INDEPENDENT,323,101
BUGABULA COUNTY SOUTH,DHIZAALA  MATHOUS IBANDA,INDEPENDENT,283,101
BUGABULA COUNTY SOUTH,NSOOLI  PROSSY,INDEPENDENT,262,101
BUGABULA COUNTY SOUTH,KITAMIRIKE  ENOCK MICHEAL,ANT,156,101
BUZAAYA COUNTY,MUGABI  MUZAALE MARTIN KISULE,NRM,19765,102
BUZAAYA COUNTY,ISANGA  MUSUMBA ISAAC,INDEPENDENT,7539,102
BUZAAYA COUNTY,KINTU  BAMUSIBULE PAUL,INDEPENDENT,6934,102
BUZAAYA COUNTY,KAFAMBE  NICHOLAS,INDEPENDENT,2912,102
BUZAAYA COUNTY,TALIYIWULA  SHARON,NUP,2627,102
BUZAAYA COUNTY,KIRENDA  SAMUEL ISABIRYE,INDEPENDENT,1177,102
BUZAAYA COUNTY,MWASE  DANIEL BALIBONAKI,INDEPENDENT,921,102
BUZAAYA COUNTY,NAIKOBA  PROSSY,ANT,785,102
BUZAAYA COUNTY,OMAALI  CHARLES,JEEMA,213,102
BUZAAYA COUNTY,WAKABI  JOSEPH ABIAM,DP,104,102
BUZAAYA COUNTY,LUVUNYA  MOSES MUGENYI,INDEPENDENT,64,102
KAMULI MUNICIPALITY,KAYANGA  BARODA,INDEPENDENT,5911,103
KAMULI MUNICIPALITY,NAMATOVU  MASTULA,NRM,5359,103
KAMULI MUNICIPALITY,BIGIRWA  MOSES,NUP,5185,103
KAMULI MUNICIPALITY,MUGOYA  GODFREY,INDEPENDENT,1261,103
KAMULI MUNICIPALITY,WANYANA  ESTHER ELIZABETH,INDEPENDENT,104,103
KIBALE COUNTY,ABIGABA CUTHBERT MIREMBE,NRM,,104
KIBALE EAST COUNTY,TUMWEBAZE FRANK KAGYIGYI,NRM,,103
KINKIZI COUNTY EAST,BARYOMUNSI  CHRIS,NRM,21040,104
KINKIZI COUNTY EAST,NKWASIBWE  DEUS,INDEPENDENT,19206,104
KINKIZI COUNTY EAST,TABARUKA  ARANS,FDC,637,104
KINKIZI COUNTY WEST,NIRINGIYIMANA  JAMES RUUGI KABERUKA,NRM,31628,104
KINKIZI COUNTY WEST,MUGABE  GREGORY,INDEPENDENT,11530,104
KINKIZI COUNTY WEST,ATUHEIRE  BRIAN,FDC,1404,104
KINKIZI COUNTY WEST,ABARIHAMWE  ALVAN,INDEPENDENT,578,104
KINKIZI COUNTY WEST,KANSIIME  SPENCER,NUP,321,104
KINKIZI COUNTY WEST,AMPUMUZA  DIXON KAGURUSI,INDEPENDENT,179,104
KAPCHORWA MUNICIPALITY,CHEPTORIS  SAM MANGUSHO,NRM,11746,105
KAPCHORWA MUNICIPALITY,KISSA  MAKIRIA STEPHEN,INDEPENDENT,4314,105
TINGEY COUNTY,TWALLA  FADIL,NRM,10248,106
TINGEY COUNTY,SOYEKWO  KENNETH CHEBORION,INDEPENDENT,8891,106
TINGEY COUNTY,CHEMUTAI  KALIFANI,INDEPENDENT,2566,106
TINGEY COUNTY,CHEROP  LUKE JOSEPH,INDEPENDENT,1309,106
TINGEY COUNTY,MUNGUSA  WETEKA NELSON,INDEPENDENT,916,106
KAPELEBYONG COUNTY,ESENU  ANTHONY ALDEN,NRM,9566,107
KAPELEBYONG COUNTY,MALINGA  JOHNSON,INDEPENDENT,6184,107
KAPELEBYONG COUNTY,OCEN  JULIUS,INDEPENDENT,6001,107
KAPELEBYONG COUNTY,OKITOI  ERISAT ROBERT,UPC,4074,107
KAPELEBYONG COUNTY,ALOU  CELESTINE,FDC,455,107
KAPELEBYONG COUNTY,ERIAKU  PETER EMMANUEL,INDEPENDENT,2,107
DODOTH WEST COUNTY,BAATOM  BEN KORYANG,NRM,5498,108
DODOTH WEST COUNTY,LOKODO  SIMON,INDEPENDENT,3686,108
DODOTH WEST COUNTY,LOKONG  DANIEL,INDEPENDENT,607,108
NAPORE WEST COUNTY,LOKWANG  PHILIPHS ILUKOL,NRM,1824,109
NAPORE WEST COUNTY,LOLUK  FIDELIS LOGWEE,INDEPENDENT,1625,109
NAPORE WEST COUNTY,IMEN  DOREEN LOE,INDEPENDENT,533,109
NAPORE WEST COUNTY,AKORYO  JUSTINE LODIT,INDEPENDENT,188,109
NAPORE WEST COUNTY,TOOLIT  AMBROSE DBINS,INDEPENDENT,181,109
BUKONJO COUNTY WEST,KATUSABE  GODFREY,FDC,36386,110
BUKONJO COUNTY WEST,KIYONGA  CHISPUS W.C.B,NRM,28520,110
BUKONJO COUNTY WEST,FATUMA  CASSIM SIDRAT,NUP,993,110
BUKONZO COUNTY  EAST,MUHINDO  HAROLD TONNY,FDC,27660,110
BUKONZO COUNTY  EAST,MONDAY  JULIUS RUDE,NRM,24908,110
BUKONZO COUNTY  EAST,KAHUNGU  PHILLY AMON,NUP,2452,110
BUSONGORA COUNTY NORTH,KITANYWA  SOWEDI,NRM,21913,111
BUSONGORA COUNTY NORTH,NZOGHU  MUSABE WILLIAM,FDC,20366,111
BUSONGORA COUNTY NORTH,BWAMBALE  JONENI,INDEPENDENT,10110,111
BUSONGORA COUNTY NORTH,MASEREKA  ELLY MAGWARA,INDEPENDENT,783,111
BUSONGORA COUNTY NORTH,BALUKU  GIDION SIBAMINYA,INDEPENDENT,570,111
BUSONGORA COUNTY SOUTH,THEMBO  GIDEON MUJUNGU,NRM,7601,112
BUSONGORA COUNTY SOUTH,MBAJU  JACKSON,INDEPENDENT,7522,112
BUSONGORA COUNTY SOUTH,KIGHEMA  ALOZIOUS BAGUMA,FDC,6956,112
BUSONGORA COUNTY SOUTH,MULINDWA  DAVID ISIMBWA,INDEPENDENT,2464,112
BUSONGORA COUNTY SOUTH,BAROZI  FRANK ASIIMWE,INDEPENDENT,2392,112
BUSONGORA COUNTY SOUTH,BUSINGE  BENADET,DP,1318,112
BUSONGORA COUNTY SOUTH,KAFUDA  BOAZ,INDEPENDENT,1187,112
BUSONGORA COUNTY SOUTH,BAKULIRAHI  SEDRACK MBAJU ARINAITWE,INDEPENDENT,803,112
BUSONGORA COUNTY SOUTH,MASEREKA  MICHEAL,NUP,790,112
BUSONGORA COUNTY SOUTH,MUNEZERO  JUMA,ANT,484,112
KASESE MUNICIPALITY,KAMBALE  FERIGO,NRM,14213,113
KASESE MUNICIPALITY,CENTENARY  FRANCO ROBERT,INDEPENDENT,11460,113
KASESE MUNICIPALITY,NTABOSE  GIDION,FDC,1864,113
KASESE MUNICIPALITY,BALUKU  SAM,NUP,1032,113
KASESE MUNICIPALITY,BENUZA  JANE,INDEPENDENT,172,113
KASESE MUNICIPALITY,MUBARAK  STUART,INDEPENDENT,103,113
KASESE MUNICIPALITY,KARAMAGI  STEPHEN GLEN,INDEPENDENT,66,113
BUKUYA COUNTY,BUKENYA  MICHAEL IGA,NRM,15190,114
BUKUYA COUNTY,BABIRYE  JANE ZANINKA,NUP,6047,114
BUKUYA COUNTY,MUTEBI  ROBERT,INDEPENDENT,3906,114
BUKUYA COUNTY,KWEZI  ROBINSON,INDEPENDENT,3264,114
KASSANDA COUNTY NORTH,NSAMBA  PATRICK OSHABE,NUP,15356,115
KASSANDA COUNTY NORTH,KAMULEGEYA  ISAAC,NRM,9116,115
KASSANDA COUNTY NORTH,KIVUMBI  FRED KATO,INDEPENDENT,350,115
KASSANDA COUNTY NORTH,SSENTONGO  JOHN BOSCO,DP,227,115
KASSANDA COUNTY SOUTH,KABUYE  FRANK,NUP,12279,116
KASSANDA COUNTY SOUTH,NSUBUGA  SIMEO,INDEPENDENT,8671,116
KASSANDA COUNTY SOUTH,MUHUMUZA  MICHEAL,NRM,8436,116
KASSANDA COUNTY SOUTH,KAGGWA  HAMAD SINAAN,INDEPENDENT,1450,116
KASSANDA COUNTY SOUTH,SSEKAMATTE  ALEX,DP,205,116
KASSANDA COUNTY SOUTH,KALANZI  KAREIRE RONALD,INDEPENDENT,87,116
NGARIAM COUNTY,OGWANG  PETER,NRM,16278,117
NGARIAM COUNTY,OTUKO  AUGUSTINE,INDEPENDENT,1954,117
NGARIAM COUNTY,OPIO  MICHAEL PETER,INDEPENDENT,1794,117
NGARIAM COUNTY,OKURE  CHARLES,FDC,1273,117
NGARIAM COUNTY,OCHAILAP  MICHAEL AKABWAI,NUP,193,117
NGARIAM COUNTY,ODENG  CHARLES HAMMER,INDEPENDENT,185,117
NGARIAM COUNTY,MALINGA  GERALD,DP,174,117
NGARIAM COUNTY,OKURE  NATHAN,ANT,148,117
TOROMA COUNTY,KOLUO  JOSEPH ANDREW,INDEPENDENT,9179,118
TOROMA COUNTY,OSSIYA  SOLOMON ALEMU,NRM,8013,118
TOROMA COUNTY,ELAKAS  WALTER OKIRING,INDEPENDENT,2949,118
TOROMA COUNTY,ODAKA  MARTIN OMEEDO,FDC,851,118
TOROMA COUNTY,IMALINGAT  ROBERT,INDEPENDENT,469,118
TOROMA COUNTY,OGWANG  SILVER,INDEPENDENT,458,118
TOROMA COUNTY,ACHOM  HARRIET FRANCES,INDEPENDENT,235,118
TOROMA COUNTY,ARIKO  CHARLES,INDEPENDENT,89,118
TOROMA COUNTY,IKAREUT  BETTY,INDEPENDENT,83,118
TOROMA COUNTY,OPUS  STANLEY,DP,71,118
TOROMA COUNTY,EUPET  JULIUS,INDEPENDENT,58,118
USUK COUNTY,OKIROR  BOSCO,NRM,5982,119
USUK COUNTY,OCHERO  JULIUS,INDEPENDENT,5370,119
USUK COUNTY,ANYAKOIT  CECILIA,INDEPENDENT,1132,119
USUK COUNTY,OGULO  SIMON PETER,DP,393,119
USUK COUNTY,AUPAL  GEORGE,UPC,231,119
USUK COUNTY,OROMAIT  JAMES OBWOKOR,FDC,158,119
BBALE COUNTY,TEBANDEKE  CHARLES,NUP,12753,120
BBALE COUNTY,MATOVU  SWALIKI,NRM,5074,120
BBALE COUNTY,MAITEKI  RONALD MUKASA,INDEPENDENT,4840,120
BBALE COUNTY,MADADA  SULEIMAN KYEBAKOZE,INDEPENDENT,3221,120
BBALE COUNTY,NALUNGA  JULIET,INDEPENDENT,2979,120
BBALE COUNTY,KATONGOLE  DENNIS,INDEPENDENT,2718,120
BBALE COUNTY,KUMAMA  NSAMBA GEORGE WILSON,INDEPENDENT,2483,120
BBALE COUNTY,KYAGABA  RONALD,INDEPENDENT,1729,120
BBALE COUNTY,NABITAKA  LILLIAN  YIGA,INDEPENDENT,934,120
BBALE COUNTY,SEBAGANZI  HENRY  KITIIBWA,INDEPENDENT,334,120
BBALE COUNTY,AINOMUGISHA  MISHANGO DAVID,INDEPENDENT,257,120
BBALE COUNTY,MULIIKA  ABDU,FDC,142,120
NTENJERU COUNTY NORTH,LUGOLOOBI  AMOS,NRM,22793,121
NTENJERU COUNTY NORTH,SSALI  FREDERICK KAFEERO,INDEPENDENT,7540,121
NTENJERU COUNTY NORTH,SERUBIRI  PATRICK HAYS,NUP,4065,121
NTENJERU COUNTY NORTH,OMARA  MICHEAL,INDEPENDENT,1383,121
NTENJERU COUNTY NORTH,MUTYABA  FRANCIS,FDC,162,121
NTENJERU COUNTY SOUTH,NSANJA  PATRICK KAYONGO,INDEPENDENT,11300,121
NTENJERU COUNTY SOUTH,BASEKE  FRED,NRM,9718,121
NTENJERU COUNTY SOUTH,MUKIIBI  BADIRU,NUP,8552,121
NTENJERU COUNTY SOUTH,SSERUMAGA  RONALD,FDC,279,121
NTENJERU COUNTY SOUTH,KATO  ABEL,ANT,115,121
NTENJERU COUNTY SOUTH,WANELOBA  ROGERS,INDEPENDENT,64,121
KAZO COUNTY,ATWIJUKIRE  DAN,NRM,17733,122
KAZO COUNTY,BAFAKI  GORDON,INDEPENDENT,10235,122
KAZO COUNTY,RUBIHAYO  RICHARD,ANT,206,122
BUYANJA COUNTY,KASAIJA MATIA,NRM,,123
BUYANJA EAST COUNTY,KUGONZA EMELY,NRM,,123
KIBOGA  EAST COUNTY,KIWANUKA  KEEFA,NRM,17127,123
KIBOGA  EAST COUNTY,KIZITO  NKUGWA,NUP,8500,123
KIBOGA  EAST COUNTY,BAKABULINDI  SHAKA,INDEPENDENT,379,123
KIBOGA  EAST COUNTY,KITUBI  DAVID,INDEPENDENT,373,123
KIBOGA  EAST COUNTY,NYANJA EBIKKA  ABDUL JALEEL,INDEPENDENT,373,123
KIBOGA  WEST COUNTY,MUTUMBA  ABDUL,NRM,10643,123
KIBOGA  WEST COUNTY,KIBUUKA  MUHAMMUD,NUP,7815,123
KIBOGA  WEST COUNTY,NAKYANZI  GRACE KAKOOZA,INDEPENDENT,1739,123
KIBOGA  WEST COUNTY,BUKULU  WILLIAM JOSEPH,INDEPENDENT,1249,123
KIBOGA  WEST COUNTY,NAMANDA  JOSEPHINE,INDEPENDENT,459,123
KIBOGA  WEST COUNTY,AKISHURI  FRANK GAHAFU,INDEPENDENT,117,123
KIBOGA  WEST COUNTY,SSEBINA  DANIEL,INDEPENDENT,93,123
KABWERI COUNTY,MUGOLE  MAUKU DAVID STEPHEN,NRM,16455,124
KABWERI COUNTY,GONAHASA  FRANCIS BARNABAS,INDEPENDENT,7586,124
KABWERI COUNTY,MOITI  JOSEPH DAKA,INDEPENDENT,6108,124
KABWERI COUNTY,KAMIZA  TOM HEZ,INDEPENDENT,872,124
KABWERI COUNTY,NABULELE  JOSEPH,NUP,664,124
KABWERI COUNTY,KAWUGULE  KEITH,INDEPENDENT,397,124
KABWERI COUNTY,KAPIO  SIMON,FDC,100,124
KABWERI COUNTY,WAITAMU  GIDEON,INDEPENDENT,67,124
KIBUKU COUNTY,KINOBERE  HERBERT TOM,NRM,14628,125
KIBUKU COUNTY,TAMWENYA  CHARLES,INDEPENDENT,5452,125
KIBUKU COUNTY,MUJOKE  SINAN,NUP,3233,125
KIBUKU COUNTY,GALANDI  PAUL EMMY LUZIGE GABONJA,INDEPENDENT,1173,125
KIBUKU COUNTY,KATAMA  B JAMES,INDEPENDENT,952,125
KIBUKU COUNTY,KANYAMUSAYI  WILSON,INDEPENDENT,844,125
KIBUKU COUNTY,NSONE  ABDALLAH,FDC,696,125
KIBUKU COUNTY,SYOPI  WILBERFORCE,INDEPENDENT,324,125
KIBUKU COUNTY,WAMUBIRIGWE  JULIUS,INDEPENDENT,106,125
BUHAGUZI COUNTY,TWINOMUJUNI  FRANCIS KAZINI,NRM,20761,126
BUHAGUZI COUNTY,MUHEIRWE  DANIEL MPAMIZO,INDEPENDENT,18788,126
BUHAGUZI COUNTY,KATO  HERBERT,ANT,1065,126
BUHAGUZI EAST COUNTY,ASEERA  STEPHEN,INDEPENDENT,13102,127
BUHAGUZI EAST COUNTY,BIGIRWA  JULIUS JUNJURA,NRM,10613,127
BUHAGUZI EAST COUNTY,TUGUME  HOWARD,INDEPENDENT,100,127
KASHONGI COUNTY,TAYEBWA  HERBERT MUSASIZI,NRM,7790,128
KASHONGI COUNTY,TUMURAMYE  GENENSIO,INDEPENDENT,7500,128
KASHONGI COUNTY,ASIIMWE  JOSEPH,FDC,12,128
NYABUSHOZI COUNTY,KAJWENGYE  TWINOMUGISHA WILSON,NRM,24061,129
NYABUSHOZI COUNTY,BAKASHABA  CHRISTOPHER,INDEPENDENT,11931,129
NYABUSHOZI COUNTY,KIVUNA  ISAAC,INDEPENDENT,292,129
NYABUSHOZI COUNTY,TUMUSIIME  APOLLO,ANT,36,129
KIBANDA NORTH COUNTY,NGOMPEK  LINOS,NRM,19950,130
KIBANDA NORTH COUNTY,BAITERA MAITEKI  GEORGE BIGIRWA,INDEPENDENT,10378,130
KIBANDA NORTH COUNTY,OUMA  PATRICK ONYAI,INDEPENDENT,3958,130
KIBANDA NORTH COUNTY,ALINAITWE  ROGERS,NUP,1882,130
KIBANDA NORTH COUNTY,WATAKA  WILLIAM,FDC,722,130
KIBANDA SOUTH COUNTY,KARUBANGA  JACOB ATEENYI,NRM,10298,130
KIBANDA SOUTH COUNTY,LUTANYWA  JACK ODUR,INDEPENDENT,8586,130
KIBANDA SOUTH COUNTY,KIZZA  JABER,INDEPENDENT,427,130
BUFUMBIRA COUNTY EAST,BUTURO  NSABA,NRM,17418,131
BUFUMBIRA COUNTY EAST,NKRUMAH  ROLAND,INDEPENDENT,3826,131
BUFUMBIRA COUNTY EAST,NSHIZIRUNGU  INNOCENT,ANT,1430,131
BUFUMBIRA COUNTY NORTH,KAMARA  JOHN NIZEYIMANA,NRM,7357,132
BUFUMBIRA COUNTY NORTH,BYARUHANGA  JOSEPH,INDEPENDENT,4292,132
BUFUMBIRA COUNTY NORTH,MUGISHA  HATEGEKA CLEMENT,INDEPENDENT,1564,132
BUFUMBIRA COUNTY NORTH,KWIRINGIRA  FRED BIRAHIIRA,INDEPENDENT,252,132
BUFUMBIRA COUNTY NORTH,BISHAKA  BARNABAS RUSHAGO,DP,35,132
BUFUMBIRA COUNTY SOUTH,NIYONSABA  ALEX,NRM,22423,132
BUFUMBIRA COUNTY SOUTH,BITANGARO  KWIZERA SAM,INDEPENDENT,18691,132
BUFUMBIRA COUNTY SOUTH,MUGISHA  ERASMUS,INDEPENDENT,317,132
BUFUMBIRA COUNTY SOUTH,NZABANDORA  MOSES,INDEPENDENT,103,132
BUFUMBIRA COUNTY SOUTH,UZABAKIRIHO  VIATORI,NUP,96,132
BUKIMBIRI COUNTY,KWIZERA  EDDIE WA- GAHUNGU,NRM,11821,133
BUKIMBIRI COUNTY,TURYAGYENDA  ASGARIO,INDEPENDENT,11330,133
BUKIMBIRI COUNTY,MUHEREZA  MARTIN,INDEPENDENT,167,133
BUKIMBIRI COUNTY,OWEBEYI  JAMES,FDC,107,133
KISORO MUNICIPALITY,KWIZERA  PAUL,NRM,3568,134
KISORO MUNICIPALITY,BYIBESHO  SAM,INDEPENDENT,3387,134
KISORO MUNICIPALITY,MUKANKWAYA  SULTANA,NUP,106,134
KISORO MUNICIPALITY,MUGISHA  ENOCK,INDEPENDENT,18,134
KITAGWENDA COUNTY,BYAMUKAMA  NULU JOSEPH,NRM,27538,135
KITAGWENDA COUNTY,AGABA  ABBAS MUGISHA,INDEPENDENT,17475,135
KITAGWENDA COUNTY,MWAMBUSYA  JOHN KABALEBE,ANT,1164,135
KITAGWENDA COUNTY,SPENCER  GEORGE WILLIAM,INDEPENDENT,370,135
KITAGWENDA COUNTY,ABAINE  JONATHAN BUREGYEYA,INDEPENDENT,302,135
KITAGWENDA COUNTY,MUSINGUZI  EVAN,FDC,262,135
CHUA EAST COUNTY,LAMWAKA MARGARET,INDEPENDENT,9195,136
CHUA EAST COUNTY,LUWO GODFREY,NRM,6572,136
CHUA EAST COUNTY,ONENCAN ROBINSON,INDEPENDENT,2784,136
CHUA EAST COUNTY,OYET SILVER OKENY,INDEPENDENT,1864,136
CHUA EAST COUNTY,ONEN CHARLES SSALI,INDEPENDENT,983,136
CHUA EAST COUNTY,LAMAKIO CELEST ODONGA,INDEPENDENT,390,136
CHUA WEST COUNTY,OKIN  P.P OJARA,FDC,11368,136
CHUA WEST COUNTY,OTIM  BOSMIC JOYCE,NRM,7239,136
CHUA WEST COUNTY,OLOYA  JOIHNSON NYEKO,INDEPENDENT,546,136
