Constituency,Name,Political Party,Votes
BUTAMBALA,WANYANA ESTHER,INDEPENDENT,740
BUTAMBALA,ELIZABETH,INDEPENDENT,741
BUTAMBALA,ABIGABA CUTHBERT MIREMBE,INDEPENDENT,742
BUTAMBALA,TUMWEBAZE FRANK KAGYIGYI,INDEPENDENT,743
BUTAMBALA,BARYOMUNSI CHRIS,INDEPENDENT,743
BUTAMBALA,NKWASIBWE DEUS,INDEPENDENT,744
BUTAMBALA,TABARUKA ARANS,INDEPENDENT,745
BUTAMBALA,NIRINGIYIMANA JAMES RUUGI,INDEPENDENT,748
BUTAMBALA,KABERUKA,INDEPENDENT,749
BUTAMBALA,MUGABE GREGORY,INDEPENDENT,749
BUTAMBALA,ATUHEIRE BRIAN,INDEPENDENT,761
BUTAMBALA,ABARIHAMWE ALVAN,INDEPENDENT,764
BUTAMBALA,KANSIIME SPENCER,INDEPENDENT,765
BUTAMBALA,AMPUMUZA DIXON KAGURUSI,INDEPENDENT,767
BUTAMBALA,CHEPTORIS SAM MANGUSHO,INDEPENDENT,768
BUTAMBALA,KISSA MAKIRIA STEPHEN,INDEPENDENT,769
BUTAMBALA,TWALLA FADIL,INDEPENDENT,770
BUTAMBALA,SOYEKWO KENNETH,INDEPENDENT,772
BUTAMBALA,CHEBORION,INDEPENDENT,773
BUTAMBALA,CHEMUTAI KALIFANI,INDEPENDENT,776
BUTAMBALA,CHEROP LUKE JOSEPH,INDEPENDENT,777
BUTAMBALA,MUNGUSA WETEKA NELSON,INDEPENDENT,783
BUTAMBALA,ESENU ANTHONY ALDEN,INDEPENDENT,784
BUTAMBALA,MALINGA JOHNSON,INDEPENDENT,784
BUTAMBALA,OCEN JULIUS,INDEPENDENT,785
BUTAMBALA,OKITOI ERISAT ROBERT,INDEPENDENT,787
BUTAMBALA,ALOU CELESTINE,INDEPENDENT,790
BUTAMBALA,ERIAKU PETER EMMANUEL,INDEPENDENT,791
BUTAMBALA,BAATOM BEN KORYANG,INDEPENDENT,802
BUTAMBALA,LOKODO SIMON,INDEPENDENT,803
BUTAMBALA,LOKONG DANIEL,INDEPENDENT,803
BUTAMBALA,LOKWANG PHILIPHS ILUKOL,INDEPENDENT,803
BUTAMBALA,LOLUK FIDELIS LOGWEE,INDEPENDENT,805
BUTAMBALA,IMEN DOREEN LOE,INDEPENDENT,806
BUTAMBALA,AKORYO JUSTINE LODIT,INDEPENDENT,807
BUTAMBALA,TOOLIT AMBROSE DBINS,INDEPENDENT,812
BUTAMBALA,KATUSABE GODFREY,INDEPENDENT,819
BUTAMBALA,KIYONGA CHISPUS W.C.B,INDEPENDENT,821
BUTAMBALA,FATUMA CASSIM SIDRAT,INDEPENDENT,823
BUTAMBALA,MUHINDO HAROLD TONNY,INDEPENDENT,824
BUTAMBALA,MONDAY JULIUS RUDE,INDEPENDENT,826
BUTAMBALA,KAHUNGU PHILLY AMON,INDEPENDENT,827
BUTAMBALA,KITANYWA SOWEDI,INDEPENDENT,828
BUTAMBALA,NZOGHU MUSABE WILLIAM,INDEPENDENT,829
BUTAMBALA,BWAMBALE JONENI,INDEPENDENT,834
BUTAMBALA COUNTY,MASEREKA ELLY MAGWARA,INDEPENDENT,836
BUTAMBALA COUNTY,BALUKU GIDION SIBAMINYA,INDEPENDENT,836
BUTAMBALA COUNTY,THEMBO GIDEON MUJUNGU,INDEPENDENT,839
BUTAMBALA COUNTY,MBAJU JACKSON,INDEPENDENT,841
BUTAMBALA COUNTY,KIGHEMA ALOZIOUS BAGUMA,INDEPENDENT,844
BUTAMBALA COUNTY,MULINDWA DAVID ISIMBWA,INDEPENDENT,844
BUTEBO,BAROZI FRANK ASIIMWE,INDEPENDENT,846
BUTEBO,BUSINGE BENADET,INDEPENDENT,850
BUTEBO,KAFUDA BOAZ,INDEPENDENT,851
BUTEBO,BAKULIRAHI SEDRACK MBAJU,INDEPENDENT,851
BUTEBO COUNTY,ARINAITWE,INDEPENDENT,852
BUTEBO COUNTY,MASEREKA MICHEAL,INDEPENDENT,857
BUTEBO COUNTY,MUNEZERO JUMA,INDEPENDENT,862
BUTEBO COUNTY,KAMBALE FERIGO,INDEPENDENT,863
BUTEBO COUNTY,CENTENARY FRANCO,INDEPENDENT,865
BUTEBO COUNTY,ROBERT,INDEPENDENT,868
BUTEMBA COUNTY,NTABOSE GIDION,INDEPENDENT,869
BUTEMBA COUNTY,BALUKU SAM,INDEPENDENT,869
BUTEMBA COUNTY,BENUZA JANE,INDEPENDENT,872
BUTEMBA COUNTY,MUBARAK STUART,INDEPENDENT,872
BUTEMBA COUNTY,KARAMAGI STEPHEN GLEN,INDEPENDENT,874
BUTEMBA COUNTY,BUKENYA MICHAEL IGA,INDEPENDENT,882
BUTEMBE COUNTY,BABIRYE JANE ZANINKA,INDEPENDENT,888
BUTEMBE COUNTY,MUTEBI ROBERT,INDEPENDENT,889
BUTEMBE COUNTY,KWEZI ROBINSON,INDEPENDENT,891
BUTEMBE COUNTY,NSAMBA PATRICK OSHABE,INDEPENDENT,893
BUTEMBE COUNTY,KAMULEGEYA ISAAC,INDEPENDENT,898
BUTEMBE COUNTY,KIVUMBI FRED KATO,INDEPENDENT,900
BUTEMBE COUNTY,SSENTONGO JOHN BOSCO,INDEPENDENT,904
BUTEMBE COUNTY,KABUYE FRANK,INDEPENDENT,906
BUTIRU COUNTY,NSUBUGA SIMEO,INDEPENDENT,910
BUTIRU COUNTY,MUHUMUZA MICHEAL,INDEPENDENT,916
BUTIRU COUNTY,KAGGWA HAMAD SINAAN,INDEPENDENT,921
BUTIRU COUNTY,SSEKAMATTE ALEX,INDEPENDENT,931
BUVUMA,KALANZI KAREIRE RONALD,INDEPENDENT,931
BUVUMA,OGWANG PETER,INDEPENDENT,932
BUVUMA,OTUKO AUGUSTINE,INDEPENDENT,933
BUVUMA ISLANDS COUNTY,OPIO MICHAEL PETER,INDEPENDENT,934
BUVUMA ISLANDS COUNTY,OKURE CHARLES,INDEPENDENT,934
BUVUMA ISLANDS COUNTY,OCHAILAP MICHAEL AKABWAI,INDEPENDENT,934
BUVUMA ISLANDS COUNTY,ODENG CHARLES HAMMER,INDEPENDENT,936
BUWEKULA COUNTY,MALINGA GERALD,INDEPENDENT,938
BUWEKULA COUNTY,OKURE NATHAN,INDEPENDENT,944
BUWEKULA COUNTY,KOLUO JOSEPH ANDREW,INDEPENDENT,945
BUWEKULA COUNTY,OSSIYA SOLOMON ALEMU,INDEPENDENT,952
BUWEKULA COUNTY,ELAKAS WALTER OKIRING,INDEPENDENT,953
BUWEKULA SOUTH COUNTY,ODAKA MARTIN OMEEDO,INDEPENDENT,956
BUWEKULA SOUTH COUNTY,IMALINGAT ROBERT,INDEPENDENT,960
BUWEKULA SOUTH COUNTY,OGWANG SILVER,INDEPENDENT,964
BUYAGA EAST COUNTY,ACHOM HARRIET FRANCES,INDEPENDENT,964
BUYAGA EAST COUNTY,ARIKO CHARLES,INDEPENDENT,966
BUYAGA EAST COUNTY,IKAREUT BETTY,INDEPENDENT,969
BUYAGA WEST COUNTY,OPUS STANLEY,INDEPENDENT,977
BUYAGA WEST COUNTY,EUPET JULIUS,INDEPENDENT,983
BUYAGA WEST COUNTY,OKIROR BOSCO,INDEPENDENT,987
BUYAMBA COUNTY,OCHERO JULIUS,INDEPENDENT,989
BUYANJA COUNTY,ANYAKOIT CECILIA,INDEPENDENT,993
BUYANJA EAST COUNTY,OGULO SIMON PETER,INDEPENDENT,999
BUYENDE,AUPAL GEORGE,INDEPENDENT,999
BUYENDE,OROMAIT JAMES OBWOKOR,INDEPENDENT,1001
BUYENDE,TEBANDEKE CHARLES,INDEPENDENT,1009
BUYENDE,MATOVU SWALIKI,INDEPENDENT,1013
BUYENDE,MAITEKI RONALD MUKASA,INDEPENDENT,1017
BUZAAYA COUNTY,MADADA SULEIMAN,INDEPENDENT,1022
BUZAAYA COUNTY,KYEBAKOZE,INDEPENDENT,1023
BUZAAYA COUNTY,NALUNGA JULIET,INDEPENDENT,1028
BUZAAYA COUNTY,KATONGOLE DENNIS,INDEPENDENT,1029
BUZAAYA COUNTY,KUMAMA NSAMBA GEORGE,INDEPENDENT,1032
BUZAAYA COUNTY,WILSON,INDEPENDENT,1032
BUZAAYA COUNTY,KYAGABA RONALD,INDEPENDENT,1033
BUZAAYA COUNTY,NABITAKA LILLIAN YIGA,INDEPENDENT,1034
BUZAAYA COUNTY,SEBAGANZI HENRY KITIIBWA,INDEPENDENT,1035
BUZAAYA COUNTY,AINOMUGISHA MISHANGO,INDEPENDENT,1036
BUZAAYA COUNTY,DAVID,INDEPENDENT,1040
BWAMBA COUNTY,MULIIKA ABDU,INDEPENDENT,1040
BWAMBA COUNTY,LUGOLOOBI AMOS,INDEPENDENT,1044
BWAMBA COUNTY,SSALI FREDERICK KAFEERO,INDEPENDENT,1045
CHEKWII COUNTY (KADAM),SERUBIRI PATRICK HAYS,INDEPENDENT,1047
CHEKWII COUNTY (KADAM),OMARA MICHEAL,INDEPENDENT,1048
CHEKWII COUNTY (KADAM),MUTYABA FRANCIS,INDEPENDENT,1048
CHEKWII COUNTY (KADAM),NSANJA PATRICK KAYONGO,INDEPENDENT,1050
CHEKWII EAST COUNTY,BASEKE FRED,INDEPENDENT,1051
CHEKWII EAST COUNTY,MUKIIBI BADIRU,INDEPENDENT,1052
CHEKWII EAST COUNTY,SSERUMAGA RONALD,INDEPENDENT,1052
CHEKWII EAST COUNTY,KATO ABEL,INDEPENDENT,1056
CHEKWII EAST COUNTY,WANELOBA ROGERS,INDEPENDENT,1065
CHUA EAST COUNTY,ATWIJUKIRE DAN,INDEPENDENT,1066
CHUA EAST COUNTY,BAFAKI GORDON,INDEPENDENT,1067
CHUA EAST COUNTY,RUBIHAYO RICHARD,INDEPENDENT,1069
CHUA EAST COUNTY,KASAIJA MATIA,INDEPENDENT,1071
CHUA EAST COUNTY,KUGONZA EMELY,INDEPENDENT,1074
CHUA EAST COUNTY,KIWANUKA KEEFA,INDEPENDENT,1074
CHUA WEST COUNTY,KIZITO NKUGWA,INDEPENDENT,1077
CHUA WEST COUNTY,BAKABULINDI SHAKA,INDEPENDENT,1080
CHUA WEST COUNTY,KITUBI DAVID,INDEPENDENT,1081
CHUA WEST COUNTY,NYANJA EBIKKA ABDUL,INDEPENDENT,1083
CHUA WEST COUNTY,JALEEL,INDEPENDENT,1089
COUNTY,MUTUMBA ABDUL,INDEPENDENT,1092
COUNTY,KIBUUKA MUHAMMUD,INDEPENDENT,1096
COUNTY,NAKYANZI GRACE KAKOOZA,INDEPENDENT,1098
COUNTY,BUKULU WILLIAM JOSEPH,INDEPENDENT,1098
COUNTY,NAMANDA JOSEPHINE,INDEPENDENT,1099
COUNTY,AKISHURI FRANK GAHAFU,INDEPENDENT,1104
COUNTY,SSEBINA DANIEL,INDEPENDENT,1106
COUNTY,MUGOLE MAUKU DAVID,INDEPENDENT,1107
COUNTY,STEPHEN,INDEPENDENT,1107
COUNTY,GONAHASA FRANCIS,INDEPENDENT,1110
COUNTY,BARNABAS,INDEPENDENT,1113
COUNTY,MOITI JOSEPH DAKA,INDEPENDENT,1113
COUNTY,KAMIZA TOM HEZ,INDEPENDENT,1114
COUNTY,NABULELE JOSEPH,INDEPENDENT,1125
COUNTY,KAWUGULE KEITH,INDEPENDENT,1127
COUNTY,KAPIO SIMON,INDEPENDENT,1127
COUNTY,WAITAMU GIDEON,INDEPENDENT,1132
COUNTY,KINOBERE HERBERT TOM,INDEPENDENT,1132
COUNTY,TAMWENYA CHARLES,INDEPENDENT,1132
COUNTY,MUJOKE SINAN,INDEPENDENT,1133
COUNTY,GALANDI PAUL EMMY LUZIGE,INDEPENDENT,1138
COUNTY,GABONJA,INDEPENDENT,1145
COUNTY,KATAMA B JAMES,INDEPENDENT,1162
DAKABELA COUNTY,KANYAMUSAYI WILSON,INDEPENDENT,1162
DAKABELA COUNTY,NSONE ABDALLAH,INDEPENDENT,1164
DAKABELA COUNTY,SYOPI WILBERFORCE,INDEPENDENT,1166
DIVISION,WAMUBIRIGWE JULIUS,INDEPENDENT,1167
DIVISION,TWINOMUJUNI FRANCIS,INDEPENDENT,1170
DIVISION,KAZINI,INDEPENDENT,1173
DIVISION,MUHEIRWE DANIEL MPAMIZO,INDEPENDENT,1174
DIVISION,KATO HERBERT,INDEPENDENT,1175
DIVISION,ASEERA STEPHEN,INDEPENDENT,1177
DIVISION,BIGIRWA JULIUS JUNJURA,INDEPENDENT,1180
DIVISION,TUGUME HOWARD,INDEPENDENT,1180
DIVISION,TAYEBWA HERBERT MUSASIZI,INDEPENDENT,1185
DIVISION,TUMURAMYE GENENSIO,INDEPENDENT,1187
DIVISION,ASIIMWE JOSEPH,INDEPENDENT,1192
DIVISION,KAJWENGYE TWINOMUGISHA,INDEPENDENT,1194
DIVISION,WILSON,INDEPENDENT,1195
DIVISION,BAKASHABA CHRISTOPHER,INDEPENDENT,1202
DIVISION,KIVUNA ISAAC,INDEPENDENT,1205
DIVISION,TUMUSIIME APOLLO,INDEPENDENT,1212
DIVISION,NGOMPEK LINOS,INDEPENDENT,1215
DIVISION,BAITERA MAITEKI GEORGE,INDEPENDENT,1217
DIVISION,BIGIRWA,INDEPENDENT,1218
DIVISION,OUMA PATRICK ONYAI,INDEPENDENT,1220
DIVISION,ALINAITWE ROGERS,INDEPENDENT,1221
DIVISION,WATAKA WILLIAM,INDEPENDENT,1223
DIVISION,KARUBANGA JACOB ATEENYI,INDEPENDENT,1226
DIVISION,LUTANYWA JACK ODUR,INDEPENDENT,1228
DIVISION,KIZZA JABER,INDEPENDENT,1235
DIVISION,BUTURO NSABA,INDEPENDENT,1241
DODOTH EAST COUNTY,NKRUMAH ROLAND,INDEPENDENT,1246
DODOTH EAST COUNTY,NSHIZIRUNGU INNOCENT,INDEPENDENT,1246
DODOTH EAST COUNTY,KAMARA JOHN NIZEYIMANA,INDEPENDENT,1248
DODOTH EAST COUNTY,BYARUHANGA JOSEPH,INDEPENDENT,1248
DODOTH NORTH COUNTY,MUGISHA HATEGEKA,INDEPENDENT,1249
DODOTH NORTH COUNTY,CLEMENT,INDEPENDENT,1250
DODOTH WEST COUNTY,KWIRINGIRA FRED BIRAHIIRA,INDEPENDENT,1254
DODOTH WEST COUNTY,BISHAKA BARNABAS,INDEPENDENT,1259
DODOTH WEST COUNTY,RUSHAGO,INDEPENDENT,1261
DOKOLO,NIYONSABA ALEX,INDEPENDENT,1265
DOKOLO,BITANGARO KWIZERA SAM,INDEPENDENT,1267
DOKOLO,MUGISHA ERASMUS,INDEPENDENT,1269
DOKOLO NORTH COUNTY,NZABANDORA MOSES,INDEPENDENT,1271
DOKOLO NORTH COUNTY,UZABAKIRIHO VIATORI,INDEPENDENT,1272
DOKOLO NORTH COUNTY,KWIZERA EDDIE WA-,INDEPENDENT,1273
DOKOLO NORTH COUNTY,GAHUNGU,INDEPENDENT,1274
DOKOLO NORTH COUNTY,TURYAGYENDA ASGARIO,INDEPENDENT,1275
DOKOLO NORTH COUNTY,MUHEREZA MARTIN,INDEPENDENT,1283
DOKOLO SOUTH COUNTY,OWEBEYI JAMES,INDEPENDENT,1290
DOKOLO SOUTH COUNTY,KWIZERA PAUL,INDEPENDENT,1292
DOKOLO SOUTH COUNTY,BYIBESHO SAM,INDEPENDENT,1297
EAST COUNTY,MUKANKWAYA SULTANA,INDEPENDENT,1298
EAST COUNTY,MUGISHA ENOCK,INDEPENDENT,1299
EAST COUNTY,BYAMUKAMA NULU JOSEPH,INDEPENDENT,1300
EAST COUNTY,AGABA ABBAS MUGISHA,INDEPENDENT,1303
EAST COUNTY,MWAMBUSYA JOHN,INDEPENDENT,1305
EAST COUNTY,KABALEBE,INDEPENDENT,1305
EAST COUNTY,SPENCER GEORGE WILLIAM,INDEPENDENT,1307
EAST COUNTY,ABAINE JONATHAN,INDEPENDENT,1308
EAST COUNTY,BUREGYEYA,INDEPENDENT,1309
EAST COUNTY,MUSINGUZI EVAN,INDEPENDENT,1312
ELGON COUNTY,LAMWAKA MARGARET,INDEPENDENT,1313
ELGON COUNTY,LUWO GODFREY,INDEPENDENT,1318
ELGON COUNTY,ONENCAN ROBINSON,INDEPENDENT,1320
ELGON NORTH COUNTY,OYET SILVER OKENY,INDEPENDENT,1338
ELGON NORTH COUNTY,ONEN CHARLES SSALI,INDEPENDENT,1338
ELGON NORTH COUNTY,LAMAKIO CELEST ODONGA,INDEPENDENT,1343
ENTEBBE MUNICIPALITY,OKIN P.P OJARA,INDEPENDENT,1344
ENTEBBE MUNICIPALITY,OTIM BOSMIC JOYCE,INDEPENDENT,1347
ENTEBBE MUNICIPALITY,OLOYA JOIHNSON NYEKO,INDEPENDENT,1361
ENTEBBE MUNICIPALITY,OTTO MIKE,INDEPENDENT,1365
ENTEBBE MUNICIPALITY,OCAYA CHARLES,INDEPENDENT,1369
ENTEBBE MUNICIPALITY,ONEKA LIT DENIS AMERE,INDEPENDENT,1373
ENTEBBE MUNICIPALITY,ATIM BEATRICE ANYWAR,INDEPENDENT,1373
ENTEBBE MUNICIPALITY,OLENGE JIMMY KOMAKECH,INDEPENDENT,1373
ERUTE COUNTY NORTH,OLANYA,INDEPENDENT,1376
ERUTE COUNTY NORTH,ORYEM HENRY KISSINGER,INDEPENDENT,1377
ERUTE COUNTY NORTH,AGECH ALBERT GLADSTONE,INDEPENDENT,1377
ERUTE COUNTY NORTH,SMOKE,INDEPENDENT,1382
ERUTE COUNTY NORTH,BABA JAMES BOLIBA,INDEPENDENT,1382
ERUTE COUNTY SOUTH,BAIGA RONALD,INDEPENDENT,1383
ERUTE COUNTY SOUTH,NGINYA HASSAN SAID,INDEPENDENT,1386
ERUTE COUNTY SOUTH,ONZIMA DONALD DEGASON,INDEPENDENT,1386
ERUTE COUNTY SOUTH,DRONYI DAVID RIKAZUBE,INDEPENDENT,1389
FORT PORTAL CENTRAL,YUGA JUMA ONZIGA,INDEPENDENT,1393
FORT PORTAL CENTRAL,AYUME CHARLES,INDEPENDENT,1396
FORT PORTAL CENTRAL,YAKANI CHARLES,INDEPENDENT,1404
FORT PORTAL CENTRAL,MUSA NOAH,INDEPENDENT,1404
FORT PORTAL CENTRAL,ASIKU ELIAS ELLY,INDEPENDENT,1408
FORT PORTAL CENTRAL,OCCUR RASUL,INDEPENDENT,1408
FORT PORTAL CITY,OPIO SAMUEL ACUTI,INDEPENDENT,1413
FORT PORTAL CITY,OKELLO BONNY DESALES,INDEPENDENT,1416
FORT PORTAL CITY,MUNU DAVID DEO,INDEPENDENT,1420
FORT PORTAL CITY,OGWANG DICKENS,INDEPENDENT,1420
FORT PORTAL CITY,OGWANG PETER,INDEPENDENT,1424
FORT PORTAL CITY,OCEN PETER,INDEPENDENT,1426
FORT PORTAL CITY,RWANKOTE DEAN DENIS,INDEPENDENT,1430
FORT PORTAL NORTH,ALULA DAVID,INDEPENDENT,1432
FORT PORTAL NORTH,EBIL FRED,INDEPENDENT,1432
FORT PORTAL NORTH,OGWENG EDDY MORRIS,INDEPENDENT,1432
FORT PORTAL NORTH,AMANGOLE BOSCO,INDEPENDENT,1433
FORT PORTAL NORTH,LOKII PETER ABRAHAMS,INDEPENDENT,1442
GOGONYO COUNTY,LOCHAP PAUL,INDEPENDENT,1448
GOGONYO COUNTY,ISMAIL MUHAMMAD LOMWAR,INDEPENDENT,1449
GOGONYO COUNTY,ADOME BILDAD MOSES,INDEPENDENT,1450
GOGONYO COUNTY,OPOLOT SIMON PETER,INDEPENDENT,1451
GOGONYO COUNTY,OKWALINGA,INDEPENDENT,1462
GOGONYO COUNTY,OROT ISMAEL,INDEPENDENT,1465
GOMBA,ODONG CHARLES,INDEPENDENT,1471
GOMBA,ASIO MARCELINA,INDEPENDENT,1473
GOMBA,OKAASAI SIDRONIUS OPOLOT,INDEPENDENT,1476
GOMBA EAST COUNTY,OPIO SOLOMON,INDEPENDENT,1481
GOMBA EAST COUNTY,OBILAN SIMON PETER,INDEPENDENT,1482
GOMBA EAST COUNTY,OBORE GODFREY,INDEPENDENT,1493
GOMBA EAST COUNTY,EMORUT SAM,INDEPENDENT,1496
GOMBA EAST COUNTY,ILAKUT JOHN CHARLES,INDEPENDENT,1497
GOMBA WEST COUNTY,OSAMA TWALIB,INDEPENDENT,1497
GOMBA WEST COUNTY,AOGON SILAS,INDEPENDENT,1501
GOMBA WEST COUNTY,OONYU MAHMOOD ONYI,INDEPENDENT,1508
GOMBA WEST COUNTY,AMONGIN APORU CHRISTINE,INDEPENDENT,1512
GULU,HELLEN,INDEPENDENT,1513
GULU,OMALINGA SIMON PETER,INDEPENDENT,1515
GULU,OCEN ROBERT,INDEPENDENT,1521
GULU,ODONG JACKSON,INDEPENDENT,1533
GULU,IMALINGAT MARTIN,INDEPENDENT,1535
GULU,OLUKA GODFREY,INDEPENDENT,1536
GULU,ANGURIA ALEXANDER,INDEPENDENT,1541
GULU,AYOO TONNY,INDEPENDENT,1549
GULU CITY,OMARA INNOCENTDAVID,INDEPENDENT,1549
GULU CITY,OKELLO JIMMY EMMANUEL,INDEPENDENT,1550
GULU CITY,ECUM,INDEPENDENT,1553
GULU CITY,ADUPA PATRICK NELSON,INDEPENDENT,1562
GULU CITY,OGUTI GEOFFREY OJEDE,INDEPENDENT,1562
GULU CITY,ADIGA ODUR ANDREW,INDEPENDENT,1564
GULU CITY,OGWAL EMMANUEL AGWENO,INDEPENDENT,1571
GWERI COUNTY,OKAE BOB,INDEPENDENT,1572
GWERI COUNTY,ONGU JAMES,INDEPENDENT,1582
GWERI COUNTY,OMARA CHRISTOPHER,INDEPENDENT,1582
GWERI COUNTY,ERACH ANDREW,INDEPENDENT,1584
HOIMA,CHEMONGES WILLIAM,INDEPENDENT,1584
HOIMA,YEKO CALVIN,INDEPENDENT,1584
HOIMA,CHEMASWET ABDI FADHIL,INDEPENDENT,1589
HOIMA,KISOS,INDEPENDENT,1608
HOIMA,MALINGA ISAAC MAIKUT,INDEPENDENT,1612
HOIMA CITY,SATYA PETER,INDEPENDENT,1612
HOIMA CITY,BINGI PATRICK NYANZI,INDEPENDENT,1619
HOIMA CITY,KAMUSIIME INNOCENT,INDEPENDENT,1620
HOIMA CITY,PENTAGON,INDEPENDENT,1625
HOIMA EAST DIVISION,MPEIRWE MICHAEL KATUNGI,INDEPENDENT,1626
HOIMA EAST DIVISION,MAWETO JACKSON,INDEPENDENT,1629
HOIMA EAST DIVISION,BAREKYE DANIEL,INDEPENDENT,1632
HOIMA EAST DIVISION,LUBONERA YOWEL,INDEPENDENT,1634
HOIMA EAST DIVISION,SSEBIKAALI YOWEERI,INDEPENDENT,1644
HOIMA WEST DIVISION,SSEKAJJA RONALD,INDEPENDENT,1650
HOIMA WEST DIVISION,MANDE EDWARD,INDEPENDENT,1652
HOIMA WEST DIVISION,KKONDE WILSON,INDEPENDENT,1653
HOIMA WEST DIVISION,BRIGHT TOM AMOOTI,INDEPENDENT,1659
HOIMA WEST DIVISION,BIRIHARIIWE ERYEZA,INDEPENDENT,1666
IBANDA,MUKAMA JOVAN,INDEPENDENT,1677
IBANDA,BYEKWASO MOSES,INDEPENDENT,1679
IBANDA,ASABA NSABIMANA PAUL,INDEPENDENT,1680
IBANDA,KAHEERU VINCENT FREEDOM,INDEPENDENT,1681
IBANDA,KAFUUZI JACKSON KARUGABA,INDEPENDENT,1682
IBANDA COUNTY NORTH,BUTIME TOM ATEENYI,INDEPENDENT,1689
IBANDA COUNTY NORTH,MUSIIME WILSON,INDEPENDENT,1693
IBANDA COUNTY NORTH,MUHUMUZA SIMON KATEEBA,INDEPENDENT,1699
IBANDA COUNTY NORTH,BAMUGAYA JEROME BARRY,INDEPENDENT,1701
IBANDA COUNTY SOUTH,KALIBA SAMUEL MURORWA,INDEPENDENT,1716
IBANDA COUNTY SOUTH,BUSINGE WILSON,INDEPENDENT,1721
IBANDA COUNTY SOUTH,MUHUMUZA DAVID,INDEPENDENT,1722
IBANDA COUNTY SOUTH,AKUGUZIBWE LAWRENCE,INDEPENDENT,1722
IBANDA MUNICIPALITY,MURIMBANYI PROTASE,INDEPENDENT,1723
IBANDA MUNICIPALITY,NATUKUNDA INNICENT,INDEPENDENT,1723
IBANDA MUNICIPALITY,BITARIHO,INDEPENDENT,1729
IBANDA MUNICIPALITY,KATALIHWA DONALD,INDEPENDENT,1739
IBANDA MUNICIPALITY,BYABAZAIRE,INDEPENDENT,1743
IBANDA MUNICIPALITY,MUGISHA VICENT,INDEPENDENT,1747
IGANGA,KAGANDA DAVID BUSINGE,INDEPENDENT,1751
IGANGA,KYOMYA WILLIAM,INDEPENDENT,1754
IGANGA,KALIIJA JAMES,INDEPENDENT,1759
IGANGA,AKUGIZIBWE MOSES,INDEPENDENT,1761
IGANGA,LUTAAYA GEOFREY,INDEPENDENT,1764
IGANGA,KALEMBA CHRISTOPHER,INDEPENDENT,1765
IGANGA MUNICIPALITY,NJUBA CHARLES NSIMBE,INDEPENDENT,1771
IGANGA MUNICIPALITY,LUBEGA ISMAIL UTHUMAN,INDEPENDENT,1782
IGANGA MUNICIPALITY,LUBEGA DRAKE FRANCIS,INDEPENDENT,1789
IGANGA MUNICIPALITY,KALULE FREDRICK ROBERT,INDEPENDENT,1790
IGANGA MUNICIPALITY,SEWANYANA RICHARD,INDEPENDENT,1794
IGANGA MUNICIPALITY,LUKWAGO JOHN PAUL,INDEPENDENT,1801
IGANGA MUNICIPALITY,MPALANYI,INDEPENDENT,1801
IGANGA MUNICIPALITY,KYEYUNE HARUNA KASOLO,INDEPENDENT,1803
IGARA COUNTY EAST,KIRUMIRA CHARLES LWANGA,INDEPENDENT,1805
IGARA COUNTY EAST,TEBAJWA ADAM,INDEPENDENT,1808
IGARA COUNTY EAST,SSALI LIVING STONE,INDEPENDENT,1816
IGARA COUNTY EAST,NDALIKE SELEGIOUS,INDEPENDENT,1824
IGARA COUNTY EAST,OKULLO AABUKA JALLON,INDEPENDENT,1825
IGARA COUNTY EAST,ANTHONY,INDEPENDENT,1836
IGARA COUNTY EAST,OKETAYOT THOMAS,INDEPENDENT,1848
IGARA COUNTY WEST,OGWOK JOHN KOMAKECH,INDEPENDENT,1850
IGARA COUNTY WEST,LUCIMA OKELLO GEORGE,INDEPENDENT,1851
IGARA COUNTY WEST,AMENA OLOYA CHARLES,INDEPENDENT,1852
IGARA COUNTY WEST,LAWINYO,INDEPENDENT,1854
IGARA COUNTY WEST,KANTO JOSEPH OCHEN,INDEPENDENT,1859
IGARA COUNTY WEST,ONEK HILARY OBALOKER,INDEPENDENT,1859
IK COUNTY,AKELLO CHRISTINE,INDEPENDENT,1864
IKI-IKI COUNTY,ABAC ACON CHARLES,INDEPENDENT,1864
IKI-IKI COUNTY,ANGIRO GUTOMOI,INDEPENDENT,1869
IKI-IKI COUNTY,EBONG JIMMY SAM,INDEPENDENT,1871
IKI-IKI COUNTY,OMARA GEOFFREY ADIGI,INDEPENDENT,1873
IKI-IKI COUNTY,OPIO CHARLES BONNY,INDEPENDENT,1875
IKI-IKI COUNTY,ODUR JONATHAN,INDEPENDENT,1882
INDUSTRIAL DIVISION,ENGOLA SAM,INDEPENDENT,1889
INDUSTRIAL DIVISION,ADUPA JOHNSON OREC,INDEPENDENT,1895
INDUSTRIAL DIVISION,ETII CAXTON,INDEPENDENT,1900
INDUSTRIAL DIVISION,AKENA JAMES MICHAEL,INDEPENDENT,1911
INDUSTRIAL DIVISION,JIMMY,INDEPENDENT,1911
INDUSTRIAL DIVISION,OCEN JAMES,INDEPENDENT,1922
INDUSTRIAL DIVISION,ONYANGO APOLLO,INDEPENDENT,1922
INDUSTRIAL DIVISION,AKENA PATRICK ROLEX,INDEPENDENT,1927
ISINGIRO,ETIANG MOSES,INDEPENDENT,1935
ISINGIRO,ONGOM ISAAC INNOCENT,INDEPENDENT,1938
